full_name,epoch_mjd,a,e,i,om,w,ma,n,first_obs,H,per_y
" 20161 (1996 TR66)",57000,47.71470906669207,.3964298555567283,12.44560948747892,343.1597063713031,309.1542617560048,52.41758613026091,.002990375002952054,1996-10-08,7.5,329.599559384546
" 24978 (1998 HJ151)",57000,43.30784541083806,.05090429108574529,2.39085715477712,50.412761327,125.5417125789829,70.43983913411572,.003458232652593341,1998-04-28,7.5,285.008668409984
" 42355 Typhon (2002 CR46)",57000,38.17613573402244,.5408140775155063,2.425096126660587,351.9082976868752,159.135523429766,13.04285930310838,.004178458803735734,1989-12-28,7.5,235.882733242784
" 79969 (1999 CP133)",57000,35.06273943857259,.08700732226143706,3.170660953405826,334.1599260931161,159.1665688602708,47.57880573364441,.004747175716170925,1999-02-11,7.5,207.623720354418
"182223 (2000 YC2)",57000,58.66678537604325,.3840731577633308,19.88249623326928,227.6308652248368,146.6947827989865,29.27865404014932,.002193388873596068,2000-12-17,7.5,449.362306535101
"385528 (2004 OR15)",57000,55.95880131427644,.3355414812592067,6.930311657008983,285.2608080201002,12.77822887022247,5.84246422058941,.002354515042812332,2004-07-22,7.5,418.611164271978
"       (1994 ES2)",57000,46.05412212475544,.1151608002082823,1.065424663421986,154.7571377803387,97.51225802180797,302.8561715035701,.003153561547657756,1994-05-05,7.5,312.543855089688
"       (1995 FB21)",49810,42.42506420677353,4.761793212031115E-5,.6755744722081867,28.35899111053373,323.4430572222099,246.2218411638321,.00356673063107579,1995-03-29,7.5,276.338861920244
"       (1995 GA7)",49811,39.45185981626433,.1191906805228422,3.540268859720782,20.96827431649887,100.1739476585185,63.938014820627,.003977432810424272,1995-04-03,7.5,247.804634382352
"       (1995 GY7)",49814,41.34574063391436,6.606774495059909E-5,.9372398654553234,34.50131964827138,318.3893429133691,245.1421264538994,.003707301526457411,1995-04-06,7.5,265.860836064606
"       (1997 RY6)",50723,41.36034247994576,2.068122439870338E-5,12.44709770948913,318.4775683642891,78.20141962314499,321.933372144468,.003705338462393877,1997-09-06,7.5,266.001687395321
"       (2000 CM104)",51590,42.58848709746199,8.385523069443086E-5,.9312061278770241,149.0172701494666,352.5679635047594,9.190088860160984,.003546220654968305,2000-02-05,7.5,277.937099595503
"       (2000 FA8)",57000,44.08256308041934,.0319278933239872,.7583835027641236,212.6636211682358,1.696638572202152,350.1085667279126,.00336747063619024,2000-03-27,7.5,292.690386896035
"       (2000 PZ29)",51762,44.89878014328538,1.797030196341401E-5,13.76020229338247,319.108569529422,183.1418922874961,175.7827383726116,.003276063123505272,2000-08-05,7.5,300.856926808227
"       (2000 PL30)",57000,41.93278001777665,.2454856671364019,5.873131240184279,326.0649098748968,139.8910256165196,249.5098208384927,.003629723892863256,2000-08-05,7.5,271.543046374819
"       (2000 SD331)",51811,43.68866209247675,4.822948757924184E-5,2.620451574253178,124.7799147735207,16.34687809574945,278.0116660695268,.003413115272048308,2000-09-23,7.5,288.776148710634
"       (2001 KS76)",52062,43.6326602103072,.09226071248993876,2.793823626560563,158.6209050533494,58.64961104505065,.03416097197557855,.003419688405461208,2001-05-24,7.5,288.22107938066
"       (2001 XQ254)",57000,56.07294946090018,.4458716657190007,7.100769678937824,107.1827220192066,10.70589637457606,4.896788822524113,.002347329045728241,2001-12-10,7.5,419.892679793332
"       (2001 XX254)",57000,44.04412529376945,.03114441272289096,1.751194370472998,85.67361611624737,95.80613162780362,304.5798894589245,.00337187984014446,2001-12-11,7.5,292.307653325312
"       (2002 CZ154)",57000,43.65789325693309,.06414559588354177,10.05788712281193,152.8573217937822,23.24588762373221,7.692147417780298,.00341672410687185,2002-02-06,7.5,288.471135666244
"       (2002 GS32)",57000,42.20703014461738,.1094557591557125,4.309467986234033,260.4347402693352,318.8260269971047,22.54555776720925,.003594403943813872,2002-04-08,7.5,274.211329270285
"       (2002 GV32)",57000,39.45414431137686,.1910349646809283,5.384194417973697,79.10986996557065,172.7933921840176,1.083970651393658,.003977087360239962,2002-04-08,7.5,247.826158716335
"       (2003 FB130)",52724,42.98547088317186,.1118737716955256,24.39993157482678,189.3986436163358,3.468508015245946,.002078570838609387,.00349720862700238,2003-03-24,7.5,281.832280681631
"       (2003 HZ56)",57000,43.74560774325883,.008168622429203534,2.547720638539215,57.10712908628633,111.7516257014629,41.85096533917427,.003406452929901381,2003-04-26,7.5,289.340937230003
"       (2003 HN57)",52767,44.40651084926492,.06641471344165104,1.983114025891189,36.55147722261604,161.5101353440001,.02889933115353825,.003330689115707007,2003-04-26,7.5,295.922630160677
"       (2003 QV91)",52905,39.48864713697227,.3497775113881227,32.91788034372688,347.1001908722073,99.24094791458604,298.0972102824211,.003971876086241466,2003-08-23,7.5,248.151317404326
"       (2003 UN284)",57000,42.73915530435594,.00546381150084675,3.073218165281657,36.05081802886117,30.27782424451516,2.217958204764844,.003527484971053103,2003-10-24,7.5,279.413318966829
"       (2003 YK179)",57000,41.84215576804534,.1462969082374433,19.5937571562753,250.1560694533308,284.70983840946,284.4229627958857,.003641522486086196,2003-10-03,7.5,270.663242403009
"       (2003 YL179)",57000,38.98285685355167,.006316468706036181,2.520301895489736,262.1390384786793,195.7833746704954,348.3696958865053,.004049427045813434,2003-12-16,7.5,243.398948102192
"       (2004 EV95)",57000,39.58498504250742,.1859537382486378,12.2604341471894,192.1187626701071,256.4071411775449,109.6497440340197,.003957385390362221,2004-03-15,7.5,249.059969182668
"       (2004 HM79)",57000,36.51695258198281,.07986694978297451,1.172672883718597,195.9092216850224,246.7131863618368,133.1747721456202,.004466448004151071,2004-04-26,7.5,220.67340366473
"       (2004 PZ107)",57000,45.52560885507384,.1838071188341918,10.8797356141414,297.3861899831753,43.52534833786385,343.4802577663945,.003208635837206814,2004-08-14,7.5,307.179229234554
"       (2004 QE29)",57000,40.73729109015306,.08078079930580342,24.17369954050815,317.8987990211842,353.7603414294994,19.36527721306435,.003790668919603981,2004-08-19,7.5,260.013813992103
"       (2004 SC60)",57000,44.30255012004584,.2835426811334111,.9886051108676617,358.9732568683781,51.30113723354785,340.0490140230239,.003342419724563881,2004-09-22,7.5,294.884055441649
"       (2005 EK298)",53441,39.55142071360892,.1313277188680344,40.19688198510659,149.2445343669685,275.4988924600271,71.84701548699893,.003962423963889448,2005-03-11,7.5,248.743267340853
"       (2005 EM303)",57000,43.69331836461078,.02238402908850775,5.603310030566809,113.1389822692657,100.4002579327052,356.9144242779342,.003412569697665872,2005-03-11,7.5,288.822315934442
"       (2005 GA187)",57000,39.40976548295014,.2162771588481451,18.73142750905908,27.70326487786617,283.034944118416,300.1439477828671,.00398380707124094,2005-04-10,7.5,247.40813642377
"       (2005 GW210)",53501,39.67838253602974,.2704468907623269,24.70751521650376,37.69278153749259,88.79910860890998,53.60391471266914,.003943420898948178,2005-04-12,7.5,249.94194346093
"       (2005 TV189)",57000,39.60766993736916,.1919264037960448,34.37325469005284,246.2059481038665,186.3984607571693,10.60044610493255,.003953986048152935,2003-12-16,7.5,249.274092362562
"       (2006 HC123)",53885,44.09965455534761,.1115880054768854,10.69741296346205,57.4999433213382,177.8126442733262,.09970575932419184,.003365513156128563,2006-04-28,7.5,292.860624113961
"       (2006 HG123)",53870,39.51356578880846,.08134375260368912,23.90456919181075,206.9231008787548,5.196636357458814,.05319628799535406,.003968119470395003,2006-04-26,7.5,248.386242077899
"       (2006 QW180)",53969,38.11755294535403,.1954232933704035,12.3116976005183,156.7047616530337,180.5235192845379,.005933844904076261,.004188095301047817,2006-08-21,7.5,235.339984532101
"       (2006 QN181)",53970,44.65525473105365,.1309697294299782,20.54197681079204,157.3232168969845,187.054610100606,.008376351872716995,.003302898420002259,2006-08-22,7.5,298.412532882825
"       (2006 WS195)",57000,39.35095657235347,.2332486390760102,32.70270548623057,62.56965899908629,231.9598494702091,79.63192442530313,.003992740940389288,2004-09-12,7.5,246.854553822232
"       (2007 TZ417)",57000,41.56039511499728,.1339167490545781,22.26423456674929,72.57608213674717,30.46180799168945,307.562343777999,.0036786169894738,2006-09-25,7.5,267.933923588099
"       (2009 JC19)",54973,50.76397013272231,.320002794936908,30.77233374979951,33.24867573326028,39.05606682391139,72.71359707569994,.002725026336947247,2009-05-15,7.5,361.694222915922
"       (2009 KL30)",57000,45.74108170398865,.2022855305955021,23.19404595259825,255.4477013726089,190.2002431776638,161.3108799091331,.003185990142445221,2009-05-25,7.5,309.362628037228
"       (2011 UT411)",57000,55.81439831373758,.4090700904875196,6.43352006012049,4.944397332000178,130.0675227414197,307.339157864252,.002363658351633214,2011-08-29,7.5,416.991856156589
"       (2012 UN177)",57000,43.21494443520087,.1598993187598018,20.1165056430285,341.3907615500702,71.69691580170493,349.6037942184967,.003469390104953846,2011-08-31,7.5,284.092089258054
"       (2013 QP95)",57000,40.6463079751315,.1712786366674293,25.43031208876911,71.42522294690797,19.33114516014187,314.0230211357605,.003803403647964925,2013-08-09,7.5,259.143223963339
" 24952 (1997 QJ4)",57000,39.37529357718563,.2273277637370039,16.58726097762769,346.9109861839812,82.41110749826689,335.8095901093567,.003989039774112838,1997-08-28,7.6,247.08359384227
" 91133 (1998 HK151)",57000,39.31329013473403,.2281963156316262,5.940749056610989,50.22763068470758,180.2773849709792,23.84777298554588,.003998480539302641,1998-04-28,7.6,246.500207686257
"118379 (1999 HC12)",57000,45.38367163195251,.2366719620932232,15.34680522704636,57.02182062277141,95.43551980509781,61.8477761459047,.003223700090838554,1999-04-18,7.6,305.743789929036
"181868 (1999 CG119)",57000,49.96559399164357,.2959193684211963,16.64554827533563,304.2303057020767,255.1951211511782,330.1939729605223,.002790599370215213,1999-02-11,7.6,353.195193078376
"385527 (2004 OK14)",57000,43.5889151388458,.2405301122562238,3.469713435710326,149.0243121061476,207.8671014014164,335.5429997732597,.003424837605878172,2004-07-17,7.6,287.787742600084
